subject,electrode,band,k,error
1,0,Mu,1,0.65
1,0,Mu,2,0.7
1,0,Mu,3,0.75
1,0,Mu,4,0.65
1,0,Mu,5,0.55
1,0,Mu,6,0.65
1,0,Mu,7,0.6
1,0,Mu,8,0.55
1,0,Mu,9,0.4
1,0,Mu,10,0.55
1,0,Beta,1,0.5
1,0,Beta,2,0.65
1,0,Beta,3,0.55
1,0,Beta,4,0.45
1,0,Beta,5,0.65
1,0,Beta,6,0.65
1,0,Beta,7,0.45
1,0,Beta,8,0.6
1,0,Beta,9,0.5
1,0,Beta,10,0.7
1,1,Mu,1,0.6
1,1,Mu,2,0.4
1,1,Mu,3,0.6
1,1,Mu,4,0.5
1,1,Mu,5,0.4
1,1,Mu,6,0.55
1,1,Mu,7,0.55
1,1,Mu,8,0.5
1,1,Mu,9,0.55
1,1,Mu,10,0.5
1,1,Beta,1,0.5
1,1,Beta,2,0.45
1,1,Beta,3,0.5
1,1,Beta,4,0.45
1,1,Beta,5,0.6
1,1,Beta,6,0.7
1,1,Beta,7,0.8
1,1,Beta,8,0.55
1,1,Beta,9,0.7
1,1,Beta,10,0.65
1,2,Mu,1,0.5
1,2,Mu,2,0.65
1,2,Mu,3,0.45
1,2,Mu,4,0.55
1,2,Mu,5,0.55
1,2,Mu,6,0.7
1,2,Mu,7,0.55
1,2,Mu,8,0.6
1,2,Mu,9,0.65
1,2,Mu,10,0.75
1,2,Beta,1,0.55
1,2,Beta,2,0.5
1,2,Beta,3,0.45
1,2,Beta,4,0.4
1,2,Beta,5,0.45
1,2,Beta,6,0.4
1,2,Beta,7,0.45
1,2,Beta,8,0.45
1,2,Beta,9,0.45
1,2,Beta,10,0.55
1,3,Mu,1,0.75
1,3,Mu,2,0.6
1,3,Mu,3,0.65
1,3,Mu,4,0.7
1,3,Mu,5,0.6
1,3,Mu,6,0.65
1,3,Mu,7,0.55
1,3,Mu,8,0.55
1,3,Mu,9,0.5
1,3,Mu,10,0.6
1,3,Beta,1,0.25
1,3,Beta,2,0.2
1,3,Beta,3,0.3
1,3,Beta,4,0.2
1,3,Beta,5,0.35
1,3,Beta,6,0.3
1,3,Beta,7,0.5
1,3,Beta,8,0.5
1,3,Beta,9,0.65
1,3,Beta,10,0.8
1,4,Mu,1,0.65
1,4,Mu,2,0.6
1,4,Mu,3,0.8
1,4,Mu,4,0.85
1,4,Mu,5,0.85
1,4,Mu,6,0.65
1,4,Mu,7,0.75
1,4,Mu,8,0.6
1,4,Mu,9,0.6
1,4,Mu,10,0.55
1,4,Beta,1,0.4
1,4,Beta,2,0.35
1,4,Beta,3,0.55
1,4,Beta,4,0.35
1,4,Beta,5,0.35
1,4,Beta,6,0.35
1,4,Beta,7,0.45
1,4,Beta,8,0.55
1,4,Beta,9,0.75
1,4,Beta,10,0.85
1,5,Mu,1,0.55
1,5,Mu,2,0.5
1,5,Mu,3,0.5
1,5,Mu,4,0.55
1,5,Mu,5,0.55
1,5,Mu,6,0.7
1,5,Mu,7,0.6
1,5,Mu,8,0.7
1,5,Mu,9,0.7
1,5,Mu,10,0.55
1,5,Beta,1,0.45
1,5,Beta,2,0.55
1,5,Beta,3,0.3
1,5,Beta,4,0.45
1,5,Beta,5,0.45
